655,501816.0,2023-02-27 14:58:17,1.02,JPY,067-84-8258
110,366360.0,2023-03-12 04:39:21,1.02,JPY,718-98-9270
433,712996.0,2023-01-03 14:41:33,1.02,JPY,718-98-9270
916,653153.0,2022-11-04 18:22:06,1.02,JPY,718-98-9270
468,500731.0,2022-10-21 13:22:00,1.02,JPY,141-66-1428
446,941802.0,2023-01-14 17:39:41,1.02,JPY,173-25-1480
804,444145.0,2022-11-09 12:26:21,1.02,JPY,141-66-1428
907,843325.0,2022-09-05 05:28:58,1.02,JPY,067-84-8258
451,260925.0,2022-08-19 07:44:22,1.02,JPY,173-25-1480
948,467087.0,2022-12-03 17:08:13,1.02,JPY,173-25-1480
995,690745.0,2022-07-22 02:01:53,1.02,JPY,718-98-9270
714,171640.0,2022-06-26 09:30:56,1.02,JPY,652-98-0341
169,420425.0,2023-02-13 03:48:25,1.02,JPY,718-98-9270
851,986579.0,2023-01-07 15:07:33,1.02,JPY,173-25-1480
889,945372.0,2022-06-19 17:08:19,1.02,JPY,718-98-9270
