314,71901.0,71901.0,2023-06-13 08:16:06,奈良銀行,173-25-1480
825,38795.0,38795.0,2023-06-13 08:15:51,奈良銀行,718-98-9270
146,93367.0,93367.0,2023-06-13 08:16:02,大阪銀行,173-25-1480
288,1258.0,1258.0,2023-06-13 08:15:42,東京銀行,067-84-8258
407,2506.0,2506.0,2023-06-13 08:16:14,東京銀行,718-98-9270
717,43959.0,43959.0,2023-06-13 08:15:30,東京銀行,141-66-1428
143,34078.0,34078.0,2023-06-13 08:16:12,奈良銀行,173-25-1480
182,1816.0,1816.0,2023-06-13 08:16:06,奈良銀行,652-98-0341
770,56645.0,56645.0,2023-06-13 08:15:35,奈良銀行,652-98-0341
819,10803.0,10803.0,2023-06-13 08:15:19,東京銀行,652-98-0341
419,19058.0,19058.0,2023-06-13 08:15:50,大阪銀行,652-98-0341
209,47335.0,47335.0,2023-06-13 08:15:42,東京銀行,067-84-8258
707,28877.0,28877.0,2023-06-13 08:15:18,大阪銀行,067-84-8258
711,54941.0,54941.0,2023-06-13 08:16:07,大阪銀行,067-84-8258
599,62103.0,62103.0,2023-06-13 08:15:44,奈良銀行,718-98-9270
